,ID,LtrGrade,Department,Grade,Term_GPA,Course,Name,Age,Attendance,Gender,Latino,Race,ZIP,LAT,LNG,ProfID
766,2016000035,C+,Business Management,77.37,2.32,ECO 110,Principles of Microeconomics,20,93.33%,2,Yes,1,89128,36.196814,-115.26436299999999,17
767,2016000035,C+,Integrated Core,76.73,2.32,INT 110,Critical Reasoning,20,75%,2,Yes,1,89128,36.196814,-115.26436299999999,29
768,2016000035,C,General Education,75.0,2.32,MTH 100,College Algebra,20,100%,2,Yes,1,89128,36.196814,-115.26436299999999,67
769,2016000035,A,General Education,93.56,2.32,WRI 100,College Composition I,20,95.24%,2,Yes,1,89128,36.196814,-115.26436299999999,71
770,2016000035,D,General Education,63.0,2.32,THE 105,New Testament,20,85.71%,2,Yes,1,89128,36.196814,-115.26436299999999,52
772,2016000035,F (R),Business Management,55.7,1.98,ACC 220,Financial Accounting,20,93.10%,2,Yes,1,89128,36.196814,-115.26436299999999,17
773,2016000035,B+,Integrated Core,89.14,1.98,INT 200,Classical Rhetoric,20,74.07%,2,Yes,1,89128,36.196814,-115.26436299999999,25
775,2016000035,C+,General Education,78.02,1.98,WRI 105,College Composition II,20,84%,2,Yes,1,89128,36.196814,-115.26436299999999,10
776,2016000035,F,Business Management,54.0,1.98,MGT 210,Quantitative Business Analysis,20,100%,2,Yes,1,89128,36.196814,-115.26436299999999,15
778,2016000035,C+,Business Management,78.0,1.98,BUS 305,Business Law,20,100%,2,Yes,1,89128,36.196814,-115.26436299999999,61
779,2016000035,B+,Business Management,87.0,2.2,ACC 230,Managerial Accounting,20,96.88%,2,Yes,1,89128,36.196814,-115.26436299999999,17
780,2016000035,C,General Education,75.0,2.2,CHE 100,Natural World: Chemistry,20,68.97%,2,Yes,1,89128,36.196814,-115.26436299999999,63
781,2016000035,F,Integrated Core,56.0,2.2,INT 210,Western Civilization &amp; the Formation of Christendom,20,100%,2,Yes,1,89128,36.196814,-115.26436299999999,20
782,2016000035,B,Business Management,84.0,2.2,MGT 315,Organizational Behavior,20,80.39%,2,Yes,1,89128,36.196814,-115.26436299999999,89
784,2016000035,B-,Business Management,82.0,2.2,BUS 310,Leadership and Business Ethics,20,94.12%,2,Yes,1,89128,36.196814,-115.26436299999999,44
785,2016000035,D+,Business Management,68.38,2.93,ACC 220,Financial Accounting,20,86.67%,2,Yes,1,89128,36.196814,-115.26436299999999,79
786,2016000035,A-,General Education,91.47,2.93,COM 105,Oral Communication,20,82%,2,Yes,1,89128,36.196814,-115.26436299999999,41
787,2016000035,B-,Business Management,82.78,2.93,ECO 115,Macroeconomics,20,88.24%,2,Yes,1,89128,36.196814,-115.26436299999999,89
788,2016000035,A,Business Management,93.38,2.93,MGT 320,HR and Talent Management,20,81.63%,2,Yes,1,89128,36.196814,-115.26436299999999,41
789,2016000035,P+,Other,100.0,2.93,Chapel,Chapel,20,96.97%,2,Yes,1,89128,36.196814,-115.26436299999999,46
790,2016000035,B,Integrated Core,83.0,2.93,INT 350,"The American Experiment in Politics, Culture &amp; Religion",20,86.67%,2,Yes,1,89128,36.196814,-115.26436299999999,20
798,2016000036,B-,Natural Sciences,82.0,2.53,BIO 105,Introductory Biology I and LAB,20,100%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,6
799,2016000036,C-,Natural Sciences,70.16,2.53,CHE 105,General Chemistry I and LAB,20,100%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,31
800,2016000036,B,Other,85.0,2.53,FRS 100,Freshman Seminar,20,100%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,12
801,2016000036,C+,Integrated Core,76.0,2.53,INT 100,Interdisciplinary Studies,20,91.18%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,28
804,2016000036,A-,General Education,90.88,2.53,WRI 090,Intermediate Composition,20,100%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,54
805,2016000036,D+,Natural Sciences,66.17,2.07,BIO 110,Introductory Biology II and LAB,20,92.59%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,6
806,2016000036,D,Natural Sciences,64.5,2.07,CHE 110,General Chemistry II and LAB,20,100%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,31
807,2016000036,C+,Integrated Core,76.31,2.07,INT 110,Critical Reasoning,20,84.38%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,29
808,2016000036,B,General Education,83.88,2.07,WRI 100,College Composition I,20,80.95%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,71
810,2016000036,A,Arts and Humanities,96.67,2.07,MUS 205,Chorale,20,94.44%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,75
811,2016000036,A-,Natural Sciences,90.88,2.82,BIO 305,Human Physiology &amp; Anatomy I,20,92.86%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,73
812,2016000036,B-,Kinesiology,80.18,2.82,KIN 200,Introduction to Kinesiology,20,88.46%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,40
813,2016000036,C,General Education,74.49,2.82,MTH 100,College Algebra,20,93.33%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,16
814,2016000036,B,Integrated Core,85.38,2.82,INT 200,Classical Rhetoric,20,92%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,25
815,2016000036,B-,General Education,82.33,2.82,WRI 105,College Composition II,20,96%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,10
817,2016000036,A,Natural Sciences,96.0,3.1,BIO 310,Human Physiology and Anatomy II,20,92.86%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,73
818,2016000036,C+,Kinesiology,78.0,3.1,KIN 100,Fundamentals of Nutrition,20,92.86%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,40
819,2016000036,B+,Kinesiology,86.0,3.1,KIN 275,Fundamentals of Strength &amp; Conditioning &amp; Ex Prescription,20,100%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,77
820,2016000036,B,General Education,84.0,3.1,MTH 105,Introduction to Statistics,20,100%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,15
821,2016000036,B-,General Education,80.0,3.1,THE 105,New Testament,20,100%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,52
822,2016000036,B+,Integrated Core,88.0,3.1,INT 210,Western Civilization &amp; the Formation of Christendom,20,100%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,20
824,2016000036,A-,Kinesiology,90.04,2.8,KIN 150,Intro to Athletic Training,20,81.40%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,51
825,2016000036,D+,Kinesiology,69.78,2.8,KIN 315,Nutrition for Health &amp; Exercise Performance,20,92.31%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,77
826,2016000036,C,Kinesiology,73.23,2.8,KIN 350,Measurments and Evaluation in Kinesiology,20,75.76%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,66
827,2016000036,P+,Other,100.0,2.8,Chapel,Chapel,20,100%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,46
828,2016000036,B-,Kinesiology,81.84,2.8,KIN 325,Motor Control &amp; Learning,20,73.33%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,40
829,2016000036,A,Psychology,138.52,2.8,PSY 150,Introduction to Psychology,20,56.67%,3,Yes,1,85364,32.702259999999995,-114.65801299999998,70
871,2016000041,C+,Other,77.0,1.58,FRS 100,Freshman Seminar,20,100%,3,Yes,4,91764,34.074087,-117.60561799999999,12
872,2016000041,D,Integrated Core,65.0,1.58,INT 100,Interdisciplinary Studies,20,94.12%,3,Yes,4,91764,34.074087,-117.60561799999999,28
874,2016000041,A-,General Education,90.7,1.58,WRI 090,Intermediate Composition,20,88.89%,3,Yes,4,91764,34.074087,-117.60561799999999,54
875,2016000041,D,Natural Sciences,63.0,1.58,BIO 105,Introductory Biology I and LAB,20,87.50%,3,Yes,4,91764,34.074087,-117.60561799999999,6
876,2016000041,F,Natural Sciences,59.0,1.58,CHE 105,General Chemistry I and LAB,20,93.94%,3,Yes,4,91764,34.074087,-117.60561799999999,31
877,2016000041,F,Natural Sciences,49.24,2.61,BIO 110,Introductory Biology II and LAB,20,81.48%,3,Yes,4,91764,34.074087,-117.60561799999999,6
878,2016000041,A,Integrated Core,95.03,2.61,INT 110,Critical Reasoning,20,90.63%,3,Yes,4,91764,34.074087,-117.60561799999999,29
879,2016000041,A,General Education,95.17,2.61,WRI 100,College Composition I,20,85.71%,3,Yes,4,91764,34.074087,-117.60561799999999,71
881,2016000041,P+,Natural Sciences,100.0,2.61,BIO 390,Journal Club and Scientific Writing,20,100%,3,Yes,4,91764,34.074087,-117.60561799999999,31
882,2016000041,B+,Kinesiology,86.28,2.61,KIN 150,Intro to Athletic Training,20,93.75%,3,Yes,4,91764,34.074087,-117.60561799999999,51
884,2016000042,F,Other,52.0,1.44,FRS 100,Freshman Seminar,20,81.25%,2,No,1,92592,33.511228,-117.042396,12
885,2016000042,D-,Integrated Core,60.0,1.44,INT 100,Interdisciplinary Studies,20,88.24%,2,No,1,92592,33.511228,-117.042396,28
886,2016000042,F,Business Management,25.29,1.44,ECO 115,Principles of Macroeconomics,20,50%,2,No,1,92592,33.511228,-117.042396,81
887,2016000042,C+,Business Management,76.0,1.44,MGT 100,Foundations of Business,20,94.12%,2,No,1,92592,33.511228,-117.042396,76
889,2016000042,C-,General Education,71.6,1.44,WRI 090,Intermediate Composition,20,81.48%,2,No,1,92592,33.511228,-117.042396,54
891,2016000043,A,Other,99.0,3.95,FRS 100,Freshman Seminar,20,100%,3,Yes,1,95370,37.984549,-120.34926399999999,12
892,2016000043,A,Arts and Humanities,113.0,3.95,HIS 100,Introduction to Historical Study,20,100%,3,Yes,1,95370,37.984549,-120.34926399999999,20
893,2016000043,A-,Integrated Core,90.0,3.95,INT 100,Interdisciplinary Studies,20,91.18%,3,Yes,1,95370,37.984549,-120.34926399999999,28
895,2016000043,A,General Education,99.0,3.95,THE 100,Orthodox Christianity,20,96.67%,3,Yes,1,95370,37.984549,-120.34926399999999,83
896,2016000043,A,General Education,95.85,3.95,WRI 100,College Composition I,20,92.31%,3,Yes,1,95370,37.984549,-120.34926399999999,54
897,2016000043,A,Arts and Humanities,93.5,3.95,PUB 200,Publishing Practicum,20,100%,3,Yes,1,95370,37.984549,-120.34926399999999,28
898,2016000043,A-,Arts and Humanities,91.5,3.08,ART 100,Intro to Studio Art &amp; Art History,20,90.91%,3,Yes,1,95370,37.984549,-120.34926399999999,39
899,2016000043,B,Integrated Core,85.6,3.08,INT 110,Critical Reasoning,20,93.75%,3,Yes,1,95370,37.984549,-120.34926399999999,29
900,2016000043,B,Arts and Humanities,84.21,3.08,LIT 201,Special Topics: The Works of JRR Tolkien,20,100%,3,Yes,1,95370,37.984549,-120.34926399999999,28
901,2016000043,A,General Education,93.0,3.08,MTH 100,College Algebra,20,88.89%,3,Yes,1,95370,37.984549,-120.34926399999999,67
903,2016000043,C-,General Education,72.0,3.08,THE 105,New Testament,20,85.71%,3,Yes,1,95370,37.984549,-120.34926399999999,52
904,2016000043,A,Arts and Humanities,93.59,3.68,LIT 200,Intro to Literature &amp; Creative Writing,20,100%,3,Yes,1,95370,37.984549,-120.34926399999999,28
905,2016000043,A,Arts and Humanities,94.73,3.68,MUS 201,Orthodox Church Music,20,100%,3,Yes,1,95370,37.984549,-120.34926399999999,75
906,2016000043,A-,General Education,90.61,3.68,SPA 100,Spanish I,20,96.55%,3,Yes,1,95370,37.984549,-120.34926399999999,19
907,2016000043,B-,General Education,81.67,3.68,BIO 100,Natural World: Biology,20,100%,3,Yes,1,95370,37.984549,-120.34926399999999,31
909,2016000043,A,Integrated Core,96.0,3.68,INT 200,Classical Rhetoric,20,96.30%,3,Yes,1,95370,37.984549,-120.34926399999999,25
910,2016000043,A,Integrated Core,104.95,3.75,INT 210,Western Civilization &amp; the Formation of Christendom,20,97.83%,3,Yes,1,95370,37.984549,-120.34926399999999,20
911,2016000043,A,Arts and Humanities,93.0,3.75,LIT 305,British Literature: Donne to Modernism,20,90.24%,3,Yes,1,95370,37.984549,-120.34926399999999,10
912,2016000043,B,General Education,84.0,3.75,SPA 105,Spanish II,20,96.77%,3,Yes,1,95370,37.984549,-120.34926399999999,19
913,2016000043,A,Arts and Humanities,93.0,3.75,HUM 305,Literature in History,20,96.43%,3,Yes,1,95370,37.984549,-120.34926399999999,25
914,2016000043,A,Integrated Core,95.06,3.75,INT 310,Modern European Thought &amp; Culture,20,96.88%,3,Yes,1,95370,37.984549,-120.34926399999999,28
924,2016000044,A,Other,97.0,3.95,FRS 100,Freshman Seminar,20,100%,3,No,5,92003,33.285274,-117.197777,12
925,2016000044,A-,Integrated Core,91.0,3.95,INT 100,Interdisciplinary Studies,20,94.12%,3,No,5,92003,33.285274,-117.197777,28
927,2016000044,A,General Education,95.17,3.95,WRI 100,College Composition I,20,92.31%,3,No,5,92003,33.285274,-117.197777,54
928,2016000044,A,Arts and Humanities,109.0,3.95,HIS 100,Introduction to Historical Study,20,100%,3,No,5,92003,33.285274,-117.197777,20
929,2016000044,A,Arts and Humanities,97.0,3.95,MUS 205,Chorale,20,96.77%,3,No,5,92003,33.285274,-117.197777,75
930,2016000044,A,Arts and Humanities,98.0,3.95,MUS 300,Music Theory I,20,100%,3,No,5,92003,33.285274,-117.197777,75
933,2016000044,A,Arts and Humanities,98.33,4.0,ART 100,Intro to Studio Art &amp; Art History,20,81.82%,3,No,5,92003,33.285274,-117.197777,39
934,2016000044,0,General Education,0.0,4.0,THE 105,New Testament,20,100%,3,No,5,92003,33.285274,-117.197777,52
935,2016000044,A,General Education,116.5,4.0,WRI 105,College Composition II,20,94.12%,3,No,5,92003,33.285274,-117.197777,71
936,2016000044,A,Integrated Core,98.46,4.0,INT 110,Critical Reasoning,20,93.10%,3,No,5,92003,33.285274,-117.197777,29
937,2016000044,A,General Education,97.6,4.0,MTH 105,Introduction to Statistics,20,100%,3,No,5,92003,33.285274,-117.197777,15
938,2016000044,A,Arts and Humanities,112.79,4.0,MUS 200,Intro to Music Listening and Performance,20,100%,3,No,5,92003,33.285274,-117.197777,75
940,2016000044,A,Arts and Humanities,94.49,3.93,LIT 200,Intro to Literature &amp; Creative Writing,20,96.67%,3,No,5,92003,33.285274,-117.197777,28
941,2016000044,A,Arts and Humanities,99.04,3.93,MUS 201,Orthodox Church Music,20,100%,3,No,5,92003,33.285274,-117.197777,75
942,2016000044,A-,General Education,92.97,3.93,SPA 100,Spanish I,20,100%,3,No,5,92003,33.285274,-117.197777,19
945,2016000044,A,Integrated Core,97.95,3.93,INT 300,Ethics,20,100%,3,No,5,92003,33.285274,-117.197777,29
948,2016000045,WF,Business Management,0.0,2.59,ECO 115,Principles of Macroeconomics,21,95.45%,2,No,1,76244,32.928036999999996,-97.283914,81
949,2016000045,B+,Other,87.0,2.59,FRS 100,Freshman Seminar,21,100%,2,No,1,76244,32.928036999999996,-97.283914,12
950,2016000045,B-,Integrated Core,80.0,2.59,INT 100,Interdisciplinary Studies,21,100%,2,No,1,76244,32.928036999999996,-97.283914,28
951,2016000045,B-,Business Management,81.0,2.59,MGT 100,Foundations of Business,21,100%,2,No,1,76244,32.928036999999996,-97.283914,76
953,2016000045,A,General Education,93.0,2.59,WRI 090,Intermediate Composition,21,100%,2,No,1,76244,32.928036999999996,-97.283914,54
954,2016000045,C+,Business Management,79.06,2.92,ECO 110,Principles of Microeconomics,21,96.67%,2,No,1,76244,32.928036999999996,-97.283914,17
955,2016000045,B+,Integrated Core,89.34,2.92,INT 110,Critical Reasoning,21,89.66%,2,No,1,76244,32.928036999999996,-97.283914,29
956,2016000045,A-,General Education,92.89,2.92,WRI 100,College Composition I,21,100%,2,No,1,76244,32.928036999999996,-97.283914,71
957,2016000045,B,General Education,83.0,2.92,MTH 100,College Algebra,21,100%,2,No,1,76244,32.928036999999996,-97.283914,67
958,2016000045,C+,General Education,78.0,2.92,THE 105,New Testament,21,100%,2,No,1,76244,32.928036999999996,-97.283914,52
960,2016000045,B-,Business Management,82.8,2.7,ACC 220,Financial Accounting,21,100%,2,No,1,76244,32.928036999999996,-97.283914,17
961,2016000045,B-,Integrated Core,82.17,2.7,INT 200,Classical Rhetoric,21,92.59%,2,No,1,76244,32.928036999999996,-97.283914,25
962,2016000045,B-,Business Management,82.75,2.7,MGT 210,Quantitative Business Analysis,21,100%,2,No,1,76244,32.928036999999996,-97.283914,15
963,2016000045,B-,General Education,81.31,2.7,WRI 105,College Composition II,21,88%,2,No,1,76244,32.928036999999996,-97.283914,10
967,2016000045,B,Business Management,84.0,2.92,ACC 230,Managerial Accounting,21,100%,2,No,1,76244,32.928036999999996,-97.283914,17
968,2016000045,C+,Integrated Core,79.4,2.92,INT 210,Western Civilization &amp; the Formation of Christendom,21,100%,2,No,1,76244,32.928036999999996,-97.283914,20
969,2016000045,B-,Business Management,81.0,2.92,BUS 310,Leadership and Business Ethics,21,97.06%,2,No,1,76244,32.928036999999996,-97.283914,44
970,2016000045,B+,General Education,87.0,2.92,CHE 100,Natural World: Chemistry,21,93.10%,2,No,1,76244,32.928036999999996,-97.283914,63
972,2016000045,B+,Business Management,88.0,2.92,MGT 315,Organizational Behavior,21,92.16%,2,No,1,76244,32.928036999999996,-97.283914,89
973,2016000045,B+,Business Management,86.93,3.39,BUS 305,Business Law,21,90%,2,No,1,76244,32.928036999999996,-97.283914,23
974,2016000045,A,General Education,94.35,3.39,COM 105,Oral Communication,21,94%,2,No,1,76244,32.928036999999996,-97.283914,41
975,2016000045,B+,Integrated Core,87.42,3.39,INT 300,Ethics,21,87.50%,2,No,1,76244,32.928036999999996,-97.283914,29
976,2016000045,P+,Other,100.0,3.39,Chapel,Chapel,21,100%,2,No,1,76244,32.928036999999996,-97.283914,46
978,2016000045,A-,General Education,90.96,3.39,ASL 100,American Sign Language I,21,100%,2,No,1,76244,32.928036999999996,-97.283914,82
979,2016000045,C-,General Education,72.78,3.39,BIO 100,Natural World: Biology,21,96.77%,2,No,1,76244,32.928036999999996,-97.283914,77
987,2016000046,B-,Other,80.0,1.91,FRS 100,Freshman Seminar,21,93.75%,2,Yes,1,92544,33.648169,-116.89530800000001,12
988,2016000046,C+,Integrated Core,77.0,1.91,INT 100,Interdisciplinary Studies,21,94.12%,2,Yes,1,92544,33.648169,-116.89530800000001,28
990,2016000046,B-,General Education,80.5,1.91,WRI 090,Intermediate Composition,21,92.59%,2,Yes,1,92544,33.648169,-116.89530800000001,54
991,2016000046,0,Natural Sciences,0.0,1.91,BIO 105,Introductory Biology I and LAB,21,100%,2,Yes,1,92544,33.648169,-116.89530800000001,6
993,2016000046,F,Natural Sciences,42.02,1.91,CHE 105,General Chemistry I and LAB,21,100%,2,Yes,1,92544,33.648169,-116.89530800000001,31
994,2016000046,C-,Business Management,70.65,2.2,ECO 110,Principles of Microeconomics,21,96.67%,2,Yes,1,92544,33.648169,-116.89530800000001,17
995,2016000046,C-,Integrated Core,71.43,2.2,INT 110,Critical Reasoning,21,84.38%,2,Yes,1,92544,33.648169,-116.89530800000001,29
996,2016000046,C-,Kinesiology,70.91,2.2,KIN 150,Intro to Athletic Training,21,96.88%,2,Yes,1,92544,33.648169,-116.89530800000001,51
997,2016000046,A-,General Education,90.5,2.2,WRI 100,College Composition I,21,80.95%,2,Yes,1,92544,33.648169,-116.89530800000001,71
999,2016000046,C,Business Management,73.81,2.6,ACC 220,Financial Accounting,21,96.55%,2,Yes,1,92544,33.648169,-116.89530800000001,17
1000,2016000046,B-,Business Management,80.02,2.6,ECO 115,Principles of Macroeconomics,21,87.50%,2,Yes,1,92544,33.648169,-116.89530800000001,89
1001,2016000046,B,Integrated Core,84.32,2.6,INT 200,Classical Rhetoric,21,96%,2,Yes,1,92544,33.648169,-116.89530800000001,25
1002,2016000046,C+,Business Management,79.9,2.6,MGT 100,Foundations of Management,21,90%,2,Yes,1,92544,33.648169,-116.89530800000001,4
1004,2016000046,B,General Education,84.33,2.6,WRI 105,College Composition II,21,88%,2,Yes,1,92544,33.648169,-116.89530800000001,10
1005,2016000046,B-,Business Management,82.0,2.78,ACC 230,Managerial Accounting,21,96.88%,2,Yes,1,92544,33.648169,-116.89530800000001,17
1006,2016000046,B-,Business Management,80.0,2.78,BUS 310,Leadership and Business Ethics,21,97.06%,2,Yes,1,92544,33.648169,-116.89530800000001,44
1007,2016000046,A-,General Education,90.0,2.78,CHE 100,Natural World: Chemistry,21,82.76%,2,Yes,1,92544,33.648169,-116.89530800000001,63
1008,2016000046,C,Integrated Core,74.06,2.78,INT 210,Western Civilization &amp; the Formation of Christendom,21,97.83%,2,Yes,1,92544,33.648169,-116.89530800000001,20
1010,2016000047,D-,Integrated Core,62.0,1.78,INT 100,Interdisciplinary Studies,24,94.12%,2,No,1,91737,34.152583,-117.577707,28
1012,2016000047,B,General Education,83.58,1.78,WRI 100,College Composition I,24,84.62%,2,No,1,91737,34.152583,-117.577707,54
1013,2016000047,0,Natural Sciences,0.0,1.78,BIO 105,Introductory Biology I and LAB,24,84.21%,2,No,1,91737,34.152583,-117.577707,6
1014,2016000047,F,Natural Sciences,50.6,1.78,CHE 105,General Chemistry I and LAB,24,100%,2,No,1,91737,34.152583,-117.577707,31
1015,2016000047,B,Arts and Humanities,84.5,2.86,ART 100,Intro to Studio Art &amp; Art History,24,90.91%,2,No,1,91737,34.152583,-117.577707,39
1016,2016000047,C,Arts and Humanities,73.43,2.86,HIS 200,Special Topics: Civil War and Reconstruction Era,24,94.29%,2,No,1,91737,34.152583,-117.577707,12
1017,2016000047,C+,Integrated Core,79.37,2.86,INT 110,Critical Reasoning,24,82.76%,2,No,1,91737,34.152583,-117.577707,29
1018,2016000047,B,General Education,83.0,2.86,MTH 100,College Algebra,24,100%,2,No,1,91737,34.152583,-117.577707,67
1019,2016000047,A,General Education,118.17,2.86,WRI 105,College Composition II,24,76.47%,2,No,1,91737,34.152583,-117.577707,71
1040,2016000050,C-,Business Management,70.36,2.03,ACC 220,Financial Accounting,23,79.17%,2,Yes,2,90220,33.88151,-118.234451,17
1041,2016000050,C-,General Education,70.0,2.03,BIO 100,Natural World: Biology,23,85.42%,2,Yes,2,90220,33.88151,-118.234451,6
1042,2016000050,C,Business Management,73.75,2.03,ECO 115,Principles of Macroeconomics,23,86.67%,2,Yes,2,90220,33.88151,-118.234451,81
1043,2016000050,C-,Business Management,70.2,2.03,MGT 100,Foundations of Business,23,82.35%,2,Yes,2,90220,33.88151,-118.234451,76
1045,2016000050,D+,General Education,69.0,2.03,SPA 100,Spanish I,23,90.63%,2,Yes,2,90220,33.88151,-118.234451,19
1046,2016000050,D+,Business Management,66.27,1.23,ECO 110,Principles of Microeconomics,23,93.33%,2,Yes,2,90220,33.88151,-118.234451,17
1047,2016000050,D+,Integrated Core,67.0,1.23,INT 210,Western Civilization &amp; the Formation of Christendom,23,90.63%,2,Yes,2,90220,33.88151,-118.234451,20
1048,2016000050,C+,Kinesiology,79.75,1.23,KIN 150,Intro to Athletic Training,23,87.50%,2,Yes,2,90220,33.88151,-118.234451,51
1049,2016000050,F,Business Management,50.63,1.23,ACC 230,Managerial Accounting,23,90%,2,Yes,2,90220,33.88151,-118.234451,17
1052,2016000051,C+,General Education,76.0,2.75,BIO 100,Natural World: Biology,26,100%,2,Yes,1,92544,33.648169,-116.89530800000001,6
1053,2016000051,B-,Business Management,82.34,2.75,ECO 115,Principles of Macroeconomics,26,100%,2,Yes,1,92544,33.648169,-116.89530800000001,81
1054,2016000051,B+,Integrated Core,88.0,2.75,INT 200,Classical Rhetoric,26,100%,2,Yes,1,92544,33.648169,-116.89530800000001,28
1055,2016000051,C+,General Education,79.04,2.75,SPA 100,Spanish I,26,100%,2,Yes,1,92544,33.648169,-116.89530800000001,19
1056,2016000051,B+,Business Management,86.0,2.75,BUS 310,Leadership and Business Ethics,26,100%,2,Yes,1,92544,33.648169,-116.89530800000001,44
1057,2016000051,C-,Integrated Core,72.6,2.9,INT 210,Western Civilization &amp; the Formation of Christendom,26,93.75%,2,Yes,1,92544,33.648169,-116.89530800000001,20
1058,2016000051,B-,Business Management,80.46,2.9,MGT 420,Global Business Environment,26,88.24%,2,Yes,1,92544,33.648169,-116.89530800000001,76
1059,2016000051,A-,Business Management,91.33,2.9,MGT 480,Strategic Management,26,93.75%,2,Yes,1,92544,33.648169,-116.89530800000001,0
1060,2016000051,B-,Business Management,80.41,2.9,ECO 110,Principles of Microeconomics,26,96.67%,2,Yes,1,92544,33.648169,-116.89530800000001,17
1061,2016000051,A-,General Education,92.05,2.9,WRI 105,College Composition II,26,94.12%,2,Yes,1,92544,33.648169,-116.89530800000001,71
1062,2016000051,A-,Business Management,91.53,2.54,BUS 498,Advanced Reading in Business,26,100%,2,Yes,1,92544,33.648169,-116.89530800000001,89
1063,2016000051,C+,Business Management,77.0,2.54,FIN 430,Financial Analysis and Investment,26,93.75%,2,Yes,1,92544,33.648169,-116.89530800000001,76
1064,2016000051,B+,Integrated Core,89.07,2.54,INT 300,Ethics,26,89.29%,2,Yes,1,92544,33.648169,-116.89530800000001,29
1065,2016000051,C+,Business Management,78.7,2.54,MKT 320,Principles of Marketing,26,93.33%,2,Yes,1,92544,33.648169,-116.89530800000001,0
1066,2016000051,D-,General Education,60.34,2.54,MTH 100,College Algebra,26,90%,2,Yes,1,92544,33.648169,-116.89530800000001,16
1067,2016000051,B+,Business Management,89.0,2.56,BUS 499,Senior Capstone,26,100%,2,Yes,1,92544,33.648169,-116.89530800000001,89
1068,2016000051,C,General Education,74.0,2.56,SPA 105,Spanish II,26,93.55%,2,Yes,1,92544,33.648169,-116.89530800000001,19
1070,2016000052,C,Business Management,74.0,2.4,ACC 220,Financial Accounting,25,95.83%,2,Yes,1,92064,32.983606,-117.019035,17
1071,2016000052,B-,Arts and Humanities,82.05,2.4,LIT 200,Intro to Literature &amp; Creative Writing,25,90.32%,2,Yes,1,92064,32.983606,-117.019035,54
1072,2016000052,B+,Business Management,87.0,2.4,MGT 100,Foundations of Business,25,88.24%,2,Yes,1,92064,32.983606,-117.019035,76
1074,2016000052,C-,Psychology,71.0,2.4,PSY 150,Introduction to Psychology,25,90.70%,2,Yes,1,92064,32.983606,-117.019035,80
1075,2016000052,0,General Education,0.0,1.75,WRI 105,College Composition II,25,66.67%,2,Yes,1,92064,32.983606,-117.019035,71
1077,2016000052,B,Arts and Humanities,83.2,1.75,HIS 200,Special Topics: Civil War and Reconstruction Era,25,88.57%,2,Yes,1,92064,32.983606,-117.019035,12
1078,2016000052,C,Integrated Core,74.5,1.75,INT 210,Western Civilization &amp; the Formation of Christendom,25,81.25%,2,Yes,1,92064,32.983606,-117.019035,20
1079,2016000052,F,Arts and Humanities,0.0,1.75,ART 100,Intro to Studio Art &amp; Art History,25,63.64%,2,Yes,1,92064,32.983606,-117.019035,39
1080,2016000052,C,Arts and Humanities,74.5,1.75,MUS 200,Intro to Music Listening and Performance,25,80.56%,2,Yes,1,92064,32.983606,-117.019035,75
1081,2016000052,C,Integrated Core,75.32,1.68,INT 300,Ethics,25,89.29%,2,Yes,1,92064,32.983606,-117.019035,29
1082,2016000052,D-,Business Management,62.55,1.68,MKT 320,Principles of Marketing,25,80%,2,Yes,1,92064,32.983606,-117.019035,0
1084,2016000052,D+,General Education,68.33,1.68,WRI 105,College Composition II,25,76%,2,Yes,1,92064,32.983606,-117.019035,10
1086,2016000052,B-,Business Management,81.5,1.68,BUS 310,Leadership,25,100%,2,Yes,1,92064,32.983606,-117.019035,0
1087,2016000052,C+,Business Management,77.0,0.99,ACC 230,Managerial Accounting,25,87.50%,2,Yes,1,92064,32.983606,-117.019035,17
1088,2016000052,F,Integrated Core,47.0,0.99,INT 310,Modern European Thought &amp; Culture,25,68.75%,2,Yes,1,92064,32.983606,-117.019035,28
